datum,návštěvnost,tržba
2024-07-03,211,16504
2024-07-04,225,18712
2024-07-05,200,15785
2024-07-06,160,13348
2024-07-07,176,16637
2024-07-08,240,21783
2024-07-09,0,0
2024-07-10,0,0
2024-07-11,142,12228
2024-07-12,0,0
2024-07-13,0,0
2024-07-14,0,0
2024-07-15,0,0
2024-07-16,0,0
2024-07-17,0,0
2024-07-18,0,0
2024-07-19,0,0
2024-07-20,0,0
2024-07-21,0,0
2024-07-22,0,0
2024-07-23,0,0
2024-07-24,0,0
2024-07-25,0,0
2024-07-26,0,0
2024-07-27,0,0
2024-07-28,0,0
2024-07-29,0,0
2024-07-30,142,12228
2024-07-31,180,15094
2024-08-01,158,13528
2024-08-02,177,14597
2024-08-03,194,16332
2024-08-04,168,14672
2024-08-05,277,23741
2024-08-06,148,11476
2024-08-07,219,19244
2024-08-08,196,16232
2024-08-09,196,15464
2024-08-10,141,11414
2024-08-11,198,17827
2024-08-12,210,18322
2024-08-13,149,13429
2024-08-14,207,16906
2024-08-15,238,21797
2024-08-16,184,15431
2024-08-17,179,15703
2024-08-18,215,18300
2024-08-19,289,25185
2024-08-20,146,12326
2024-08-21,198,15864
2024-08-22,187,15396
2024-08-23,166,13800
2024-08-24,184,15624
2024-08-25,215,19797
2024-08-26,233,20301
2024-08-27,146,11068
2024-08-28,203,16332
2024-08-29,211,15964
2024-08-30,193,16536
2024-08-31,176,14594
2024-09-01,212,18314
2024-09-02,241,20990
2024-09-03,149,12813
2024-09-04,228,17189
2024-09-05,292,22372
2024-09-06,206,17053
2024-09-07,208,16135
2024-09-08,209,18227
2024-09-09,264,22135
2024-09-10,159,11795
2024-09-11,240,19095
2024-09-12,283,23086
2024-09-13,228,16911
2024-09-14,306,24985
2024-09-15,328,27826
2024-09-16,364,29919
2024-09-17,206,16888
2024-09-18,193,14728
2024-09-19,259,21259
2024-09-20,204,15522
2024-09-21,232,19320
2024-09-22,198,16449
2024-09-23,266,21659
2024-09-24,195,14776
2024-09-25,234,18604
2024-09-26,201,15705
2024-09-27,242,18963
2024-09-28,227,18544
2024-09-29,262,21879
2024-09-30,338,29485
2024-10-01,166,13279
2024-10-02,257,21013
2024-10-03,285,22620
2024-10-04,229,18276
2024-10-05,271,22492
2024-10-06,307,26067
2024-10-07,349,29763
2024-10-08,187,14467
2024-10-09,226,18120
2024-10-10,276,21249
2024-10-11,254,20503
2024-10-12,287,23326
2024-10-13,259,21169
2024-10-14,372,31253
2024-10-15,188,14016
2024-10-16,238,18689
2024-10-17,277,21886
2024-10-18,268,20617
2024-10-19,283,23341
2024-10-20,277,22789
2024-10-21,350,29065
2024-10-22,210,16795
2024-10-23,313,25449
2024-10-24,282,22368
2024-10-25,290,23191
2024-10-26,248,19384
2024-10-27,286,23351
2024-10-28,388,33222
2024-10-29,188,15042
2024-10-30,315,25547
2024-10-31,356,28710
2024-11-01,306,23518
2024-11-02,294,23317
2024-11-03,354,29240
2024-11-04,401,33160
2024-11-05,215,16557
2024-11-06,281,22074
2024-11-07,289,22048
2024-11-08,299,23622
2024-11-09,364,27169
2024-11-10,287,23207
2024-11-11,346,28707
2024-11-12,240,18866
2024-11-13,294,23417
2024-11-14,302,24471
2024-11-15,299,23223
2024-11-16,329,26507
2024-11-17,386,32697
2024-11-18,456,38087
2024-11-19,264,20795
2024-11-20,335,26259
2024-11-21,346,28515
2024-11-22,335,28097
2024-11-23,322,26849
2024-11-24,313,27026
2024-11-25,433,36035
2024-11-26,249,20072
2024-11-27,349,28402
2024-11-28,318,25704
2024-11-29,307,25425
2024-11-30,335,26186
2024-12-01,1,1
2024-12-02,0,0
2024-12-03,225,17863
2024-12-04,313,24170
2024-12-05,327,25443
2024-12-06,258,20585
2024-12-07,273,20076
2024-12-08,333,27018
2024-12-09,432,35470
2024-12-10,209,16574
2024-12-11,159,11220
